# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
163           	7.823613e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
164           	7.663537e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
165           	7.677348e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
166           	7.687281e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
167           	7.698156e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
168           	7.677929e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
169           	7.666386e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
170           	7.650576e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
171           	7.589987e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
172           	7.536551e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
173           	7.535463e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
174           	7.533385e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
175           	7.498646e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
176           	7.468026e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
177           	7.385564e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
178           	7.394147e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
179           	7.407589e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
180           	7.423506e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
181           	7.377039e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
182           	7.407741e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
183           	7.421752e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
184           	7.425482e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
185           	7.414415e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
186           	7.395536e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
187           	7.357034e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
188           	7.299705e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
189           	7.325615e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
190           	7.270367e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
191           	7.208566e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
192           	7.226433e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
193           	7.206129e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
194           	7.192496e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
195           	7.195888e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
196           	7.190272e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
197           	7.165015e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
198           	7.166320e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
199           	7.167000e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
200           	7.146507e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
201           	7.143961e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
202           	7.139003e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
203           	7.095992e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
204           	7.101681e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
205           	7.103053e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
206           	7.102639e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
207           	7.098784e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
208           	7.092447e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
209           	7.082560e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
210           	7.069024e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
211           	7.052295e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
212           	7.033726e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
213           	7.015039e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
214           	6.997853e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
215           	6.982116e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
216           	6.973314e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
217           	6.931175e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
218           	6.921327e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
219           	6.915299e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
220           	6.908158e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
221           	6.882917e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
222           	6.878471e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
223           	6.871959e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
224           	6.829143e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
225           	6.820670e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
226           	6.810849e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
227           	6.765378e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
228           	6.755047e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
229           	6.744467e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
230           	6.705723e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
231           	6.695697e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
232           	6.684718e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
233           	6.668321e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
234           	6.648105e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
235           	6.626312e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
236           	6.604323e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
237           	6.582615e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
238           	6.561990e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
239           	6.543090e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
240           	6.525707e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
241           	6.508695e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
242           	6.491358e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
243           	6.473451e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
244           	6.455282e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
245           	6.439527e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
246           	6.399800e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
247           	6.394739e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
248           	6.389516e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
249           	6.361976e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
250           	6.354074e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
251           	6.315393e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
252           	6.304145e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
253           	6.289760e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
254           	6.245397e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
255           	6.238519e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
256           	6.230056e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
257           	6.220714e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
258           	6.200310e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
259           	6.193756e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
260           	6.188401e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
261           	6.183723e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
262           	6.186617e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
263           	6.188273e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
264           	6.188853e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
265           	6.190590e-05	(0.000000e+00 0.000000e+00 -5.706577e-03)
