# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
218           	8.126107e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
219           	8.103800e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
220           	8.148542e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
221           	8.122229e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
222           	8.125299e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
223           	8.106528e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
224           	8.087205e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
225           	8.072066e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
226           	8.061547e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
227           	8.052879e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
228           	8.043860e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
229           	8.030909e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
230           	8.015002e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
231           	7.997587e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
232           	7.981323e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
233           	7.964174e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
234           	7.943712e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
235           	7.923613e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
236           	7.905270e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
237           	7.887503e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
238           	7.869601e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
239           	7.851433e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
240           	7.833255e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
241           	7.815177e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
242           	7.797196e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
243           	7.778674e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
244           	7.760036e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
245           	7.741771e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
246           	7.723912e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
247           	7.706052e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
248           	7.687927e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
249           	7.669499e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
250           	7.650796e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
251           	7.632319e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
252           	7.613909e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
253           	7.595362e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
254           	7.576375e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
255           	7.557297e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
256           	7.538218e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
257           	7.519147e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
258           	7.500161e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
259           	7.481228e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
260           	7.461859e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
261           	7.441899e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
262           	7.421138e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
263           	7.400897e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
264           	7.381181e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
265           	7.363453e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
266           	7.344756e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
267           	7.324421e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
268           	7.305028e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
269           	7.286964e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
270           	7.268903e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
271           	7.251745e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
272           	7.235132e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
273           	7.218646e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
274           	7.202237e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
275           	7.186095e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
276           	7.169116e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
277           	7.151775e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
278           	7.137800e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
279           	7.090735e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
280           	7.086789e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
281           	7.085101e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
282           	7.081766e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
283           	7.071319e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
284           	7.067507e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
285           	7.060483e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
286           	7.051034e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
287           	7.039808e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
288           	7.027940e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
289           	7.016264e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
290           	7.006379e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
291           	6.979421e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
292           	6.976099e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
293           	6.973509e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
294           	6.970778e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
295           	6.968984e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
296           	6.968678e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
297           	6.966734e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
298           	6.966153e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
299           	6.965621e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
300           	6.961917e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
301           	6.955499e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
302           	6.954482e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
303           	6.947301e+00	(0.000000e+00 0.000000e+00 -2.027337e+00)
